naslov, leto_izida, trajanje, ocena
Tommy Tricker and the Stamp Traveller, 1988, 105, 6.8
Baseraa, 1981, 139, 6.8
Rumpelstiltskin, 1987, 84, 5.3
Asterix vs. Caesar, 1985, 79, 6.8
Joey, 1985, 98, 4.7
Cry Wilderness, 1987, 93, 2.1
Animalympics, 1980, 78, 6.8
Tuck Everlasting, 1981, 90, 6.5
Bon Voyage, Charlie Brown (and Don't Come Back!!), 1980, 75, 7.1
The Dog Who Stopped the War, 1984, 91, 7.5
The Fantastic Adventures of Unico, 1981, 90, 7.4
Spriditis, 1986, 80, 7.0
The Little Fox, 1981, 79, 8.3
The Children of Bullerby Village, 1986, 87, 6.8
Nukie, 1987, 99, 1.8
Asterix and the Big Fight, 1989, 81, 6.4
Chashme Buddoor, 1981, 145, 7.9
Amy, 1981, 100, 6.4
Asterix in Britain, 1986, 79, 7.1
Jui gaai paak dong, 1982, 93, 6.6
Priklyucheniya pingvinenka Lolo, 1987, 78, 7.4
Bush Christmas, 1983, 91, 5.1
The Care Bears Adventure in Wonderland, 1987, 80, 5.9
Nigahen: Nagina Part II, 1989, 140, 5.2
Going Ape!, 1981, 87, 4.1
Conan the Future Boy: The Big Giant Robot's Resurrection, 1984, 49, 8.2
Cheetah, 1989, 83, 5.9
Rasmus på luffen, 1981, 105, 6.8
Babar: The Movie, 1989, 70, 6.3
Bananen-Paul, 1982, 90, NE
Sea Prince and the Fire Child, 1981, 108, 7.1
Nutcracker, 1986, 89, 6.9
The Wizard of Oz, 1982, 78, 6.6
The Devil and Max Devlin, 1981, 96, 5.0
Young Dragons: Kung Fu Kids, 1986, 86, 7.2
Chaalbaaz, 1989, 155, 6.8
Samsaram Athu Minsaram, 1986, 145, 7.8
Begynnelsen på en historie, 1988, 87, 6.5
Tadpole and the Whale, 1988, 91, 6.2
Twice Upon a Time, 1983, 74, 6.9
The Mystery of the Third Planet, 1981, 48, 7.8
Lost, 1983, 92, 4.6
Courage Mountain, 1989, 98, 5.8
Avtaar, 1983, 150, 7.4
It's a Mad, Mad, Mad World, 1987, 100, 6.5
Cudesna suma, 1986, 83, 8.0
Aladdin and the Wonderful Lamp, 1982, 65, 6.8
Bemisal, 1982, 142, 6.8
Bugs Bunny's 3rd Movie: Rabbit Tales, 1982, 74, 7.0
Gritta of the Rats' Castle, 1985, 79, 6.5
Ek Jaan Hain Hum, 1983, 151, 5.3
Badi, 1984, 77, 3.1
Red Riding Hood, 1987, 81, 5.4
Heidi's Song, 1982, 94, 6.2
Chiquidrácula, 1985, 92, 5.4
El sinvergüenza, 1984, 84, 7.3
Pyar Jhukta Nahin, 1985, 135, 6.6
Sylvester, 1985, 104, 6.3
Meg of June Hill, 1980, 82, 6.4
Daffy Duck's Movie: Fantastic Island, 1983, 78, 6.9
Daffy Duck's Quackbusters, 1988, 78, 7.0
The Kingdom of Diamonds, 1980, 118, 8.8
Maria, Mirabella, 1981, 69, 7.5
Pinocchio and the Emperor of the Night, 1987, 87, 6.2
Swathi Muthyam, 1986, 160, 8.5
Mashaal, 1984, 162, 7.1
Betaab, 1983, 162, 6.5
The Adventures of the American Rabbit, 1986, 85, 5.3
The Wolves of Willoughby Chase, 1989, 93, 5.9
Eeshwar, 1989, 147, 7.3
The Emperor's New Clothes, 1987, 85, 4.7
Captain Tsubasa Movie Attention! The Japanese Junior Selection, 1985, 1, 6.5
Ilzaam, 1986, 164, 5.0
Voyager from the Unknown, 1982, 91, 6.9
Gamera: Super Monster, 1980, 92, 3.6
Panchavati, 1986, 143, 6.6
Samson and Sally, 1984, 1, 7.0
Pop Pirates, 1984, 58, 5.3
Fatty Finn, 1980, 91, 6.6
Playing Beatie Bow, 1986, 93, 5.8
The Puppetoon Movie, 1987, 79, 7.1
My Dear Kuttichaathan, 1984, 96, 7.8
BraveStarr: The Legend, 1988, 91, 6.8
Gummi-Tarzan, 1981, 98, 6.4
Friend or Foe, 1982, 70, 6.4
Szeleburdi vakáció, 1987, 73, 6.9
Conrad: The Factory-Made Boy, 1983, 80, 6.9
Peter-No-Tail, 1981, 81, 7.0
Mamá, soy Paquito, 1984, 105, 6.9
Amigo, 1980, 85, 6.6
Bolji zivot, 1989, 98, 7.8
Mister Blot's Academy, 1984, 166, 6.8
The Happy Ghost, 1984, 96, 6.2
