naslov, leto_izida, trajanje, ocena
The Princess Bride, 1987, 98, 8.0
Supergirl, 1984, 124, 4.4
Cinema Paradiso, 1988, 174, 8.5
Dirty Dancing, 1987, 100, 7.1
Steel Magnolias, 1989, 117, 7.3
Big, 1988, 104, 7.3
Excalibur, 1981, 140, 7.3
Witness, 1985, 112, 7.3
The Blue Lagoon, 1980, 104, 5.8
Footloose, 1984, 107, 6.6
Legend, 1985, 94, 6.3
When Harry Met Sally..., 1989, 95, 7.7
Willow, 1988, 126, 7.2
Say Anything..., 1989, 100, 7.3
Bull Durham, 1988, 108, 7.0
The Little Mermaid, 1989, 83, 7.6
Coming to America, 1988, 117, 7.1
Body Heat, 1981, 113, 7.4
Out of Africa, 1985, 161, 7.2
Sixteen Candles, 1984, 93, 7.0
Maurice, 1987, 140, 7.6
Weeks, 1986, 117, 5.9
Risky Business, 1983, 99, 6.8
A Night on the Town, 1987, 102, 6.9
Tootsie, 1982, 116, 7.4
Moonstruck, 1987, 102, 7.2
Pretty in Pink, 1986, 97, 6.7
Overboard, 1987, 112, 6.9
Little Shop of Horrors, 1986, 94, 7.1
Flashdance, 1983, 95, 6.2
Tie Me Up! Tie Me Down!, 1989, 101, 7.0
St. Elmo's Fire, 1985, 108, 6.4
Stepfather, 1981, 123, 6.9
Cocktail, 1988, 104, 6.0
Bill &amp; Ted's Excellent Adventure, 1989, 90, 6.9
An Officer and a Gentleman, 1982, 124, 7.1
Splash, 1984, 111, 6.3
Better Off Dead..., 1985, 97, 7.1
Sophie's Choice, 1982, 150, 7.5
Dangerous Liaisons, 1988, 119, 7.5
Working Girl, 1988, 113, 6.8
Wings of Desire, 1987, 128, 7.9
Starman, 1984, 115, 7.0
Against All Odds, 1984, 121, 6.0
A Room with a View, 1986, 117, 7.2
Weird Science, 1985, 94, 6.6
Mystic Pizza, 1988, 104, 6.4
Explorers, 1985, 109, 6.4
Some Kind of Wonderful, 1987, 95, 7.0
Always, 1989, 122, 6.4
Romancing the Stone, 1984, 106, 6.9
Arthur, 1981, 97, 6.9
The Secret of My Success, 1987, 111, 6.5
Broadcast News, 1987, 133, 7.3
Somewhere in Time, 1980, 103, 7.2
Something Wild, 1986, 114, 6.9
Tequila Sunrise, 1988, 115, 6.1
Streets of Fire, 1984, 93, 6.7
Desert Hearts, 1985, 91, 7.1
Lifeforce, 1985, 101, 6.2
Xanadu, 1980, 96, 5.4
Hairspray, 1988, 92, 7.0
Can't Buy Me Love, 1987, 94, 6.8
Mannequin, 1987, 90, 6.0
Valley Girl, 1983, 99, 6.4
Reds, 1981, 195, 7.3
Look Who's Talking, 1989, 93, 6.0
Purple Rain, 1984, 111, 6.5
No Way Out, 1987, 114, 7.1
The Bounty, 1984, 132, 7.1
Tender Cousins, 1980, 92, 5.4
Maria's Lovers, 1984, 109, 6.5
Real Genius, 1985, 108, 6.9
Urban Cowboy, 1980, 132, 6.5
Howard the Duck, 1986, 110, 4.8
The Wraith, 1986, 93, 5.9
Crossroads, 1986, 99, 7.1
Betty Blue, 1986, 119, 7.3
The Fabulous Baker Boys, 1989, 114, 6.9
Barfly, 1987, 100, 7.1
Endless Love, 1981, 116, 5.0
Running on Empty, 1988, 116, 7.6
Sid and Nancy, 1986, 112, 7.0
Earth Girls Are Easy, 1988, 100, 5.5
Summer School, 1987, 97, 6.6
Sea of Love, 1989, 113, 6.8
Popeye, 1980, 97, 5.4
Son of the White Mare, 1981, 86, 7.8
