naslov, leto_izida, trajanje, ocena
The Assassination of Jesse James by the Coward Robert Ford, 2007, 160, 7.5
The Hours, 2002, 114, 7.5
Public Enemies, 2009, 140, 6.9
The Brave One, 2007, 122, 6.7
Let the Right One In, 2008, 114, 7.8
Juno, 2007, 96, 7.4
Match Point, 2005, 124, 7.6
Monster, 2003, 109, 7.3
Like Stars on Earth, 2007, 162, 8.3
Radio, 2003, 109, 6.9
Primer, 2004, 77, 6.7
Hunger, 2008, 96, 7.5
Hannibal, 2001, 131, 6.8
Forgetting Sarah Marshall, 2008, 111, 7.1
Paprika, 2006, 90, 7.7
Desert Flower, 2009, 2, 7.3
Hachi: A Dog's Tale, 2009, 93, 8.1
Equilibrium, 2002, 107, 7.3
8 Mile, 2002, 110, 7.2
Mona Lisa Smile, 2003, 117, 6.6
The Darjeeling Limited, 2007, 91, 7.2
Road to Perdition, 2002, 117, 7.6
Adaptation., 2002, 115, 7.6
Revolutionary Road, 2008, 119, 7.3
Unbreakable, 2000, 106, 7.3
Mr. Nobody, 2009, 141, 7.7
It's Complicated, 2009, 121, 6.6
Birth, 2004, 100, 6.3
Sweeney Todd: The Demon Barber of Fleet Street, 2007, 116, 7.3
Before the Devil Knows You're Dead, 2007, 117, 7.3
Red Dragon, 2002, 124, 7.2
The Hurt Locker, 2008, 131, 7.5
The Good Shepherd, 2006, 167, 6.7
Frequency, 2000, 118, 7.4
Punch-Drunk Love, 2002, 95, 7.3
Disturbia, 2007, 105, 6.8
Walk the Line, 2005, 136, 7.8
The Boy in the Striped Pyjamas, 2008, 94, 7.7
Crouching Tiger, Hidden Dragon, 2000, 2, 7.9
The Station Agent, 2003, 89, 7.6
Appaloosa, 2008, 115, 6.7
Dogville, 2003, 171, 8.0
Enter the Void, 2009, 142, 7.2
Sideways, 2004, 127, 7.5
The Village, 2004, 108, 6.6
Dear Zachary: A Letter to a Son About His Father, 2008, 93, 8.5
Thirteen, 2003, 100, 6.8
The Time Traveler's Wife, 2009, 107, 7.1
What Lies Beneath, 2000, 130, 6.6
Blow, 2001, 124, 7.5
Traffic, 2000, 147, 7.5
Layer Cake, 2004, 105, 7.2
Amores Perros, 2000, 154, 8.0
The Girl Next Door, 2007, 91, 6.4
Michael Clayton, 2007, 119, 7.2
We Own the Night, 2007, 117, 6.8
9, 2009, 79, 7.0
Lust, Caution, 2007, 157, 7.5
Miracle, 2004, 135, 7.5
Corpse Bride, 2005, 77, 7.4
Billy Elliot, 2000, 110, 7.7
The Illusionist, 2006, 110, 7.5
The Skeleton Key, 2005, 104, 6.5
Bronson, 2008, 92, 7.0
Stick It, 2006, 103, 6.4
Hancock, 2008, 92, 6.4
The Break-Up, 2006, 106, 5.8
Rachel Getting Married, 2008, 113, 6.6
The Chaser, 2008, 125, 7.8
Up in the Air, 2009, 109, 7.4
Lucky Number Slevin, 2006, 110, 7.7
Lake Mungo, 2008, 87, 6.2
Rocky Balboa, 2006, 102, 7.1
Vertical Limit, 2000, 124, 6.0
Valkyrie, 2008, 121, 7.1
Green Street, 2005, 109, 7.4
High Fidelity, 2000, 113, 7.4
Four Brothers, 2005, 109, 6.8
A Perfect Getaway, 2009, 98, 6.5
One Hour Photo, 2002, 96, 6.8
3:to Yuma, 2007, 122, 7.6
The Beach, 2000, 119, 6.6
Bridget Jones's Diary, 2001, 97, 6.8
Perfume: The Story of a Murderer, 2006, 147, 7.5
Hotel Rwanda, 2004, 121, 8.1
Chloe, 2009, 96, 6.2
P.S. I Love You, 2007, 126, 7.0
The Host, 2006, 2, 7.1
The Last King of Scotland, 2006, 123, 7.6
Funny Games, 2007, 111, 6.5
