naslov, leto_izida, trajanje, ocena
Harry Potter and the Philosopher's Stone, 2001, 152, 7.7
Cars, 2006, 116, 7.3
Spirited Away, 2001, 124, 8.6
Night at the Museum, 2006, 108, 6.5
Ratatouille, 2007, 111, 8.1
Finding Nemo, 2003, 100, 8.2
WALL·E, 2008, 98, 8.4
Harry Potter and the Goblet of Fire, 2005, 157, 7.7
Monsters, Inc., 2001, 92, 8.1
The Incredibles, 2004, 115, 8.0
Shrek, 2001, 90, 7.9
Up, 2009, 96, 8.3
Harry Potter and the Prisoner of Azkaban, 2004, 142, 7.9
Harry Potter and the Chamber of Secrets, 2002, 161, 7.5
Scooby-Doo, 2002, 89, 5.4
Night at the Museum 2, 2009, 105, 6.0
Lilo &amp; Stitch, 2002, 85, 7.4
The Chronicles of Narnia: The Lion, the Witch and the Wardrobe, 2005, 143, 6.9
Kung Fu Panda, 2008, 92, 7.6
Howl's Moving Castle, 2004, 119, 8.2
Madagascar, 2005, 86, 7.0
Harry Potter and the Order of the Phoenix, 2007, 138, 7.5
Shrek 2, 2004, 93, 7.4
Coraline, 2009, 100, 7.8
A Cinderella Story, 2004, 95, 6.0
Ice Age, 2002, 81, 7.5
The Princess Diaries, 2001, 115, 6.4
Harry Potter and the Half-Blood Prince, 2009, 153, 7.6
Bridge to Terabithia, 2007, 96, 7.2
Charlie and the Chocolate Factory, 2005, 115, 6.7
Fantastic Mr. Fox, 2009, 87, 7.9
Holes, 2003, 117, 7.0
Secondhand Lions, 2003, 111, 7.5
The Emperor's New Groove, 2000, 78, 7.4
An Unfinished Life, 2005, 108, 7.0
Bee Movie, 2007, 91, 6.1
The Princess and the Frog, 2009, 97, 7.2
A Series of Unfortunate Events, 2004, 108, 6.8
Enchanted, 2007, 107, 7.1
Atlantis: The Lost Empire, 2001, 95, 6.9
Treasure Planet, 2002, 95, 7.2
Like Stars on Earth, 2007, 162, 8.3
Hachi: A Dog's Tale, 2009, 93, 8.1
Shrek the Third, 2007, 93, 6.1
Ponyo, 2008, 101, 7.6
Shark Tale, 2004, 90, 6.0
Aquamarine, 2006, 110, 5.5
Cloudy with a Chance of Meatballs, 2009, 90, 6.9
Robots, 2005, 91, 6.4
Corpse Bride, 2005, 77, 7.4
Monster House, 2006, 91, 6.7
Meet the Robinsons, 2007, 95, 6.8
Over the Hedge, 2006, 83, 6.7
Sky High, 2005, 100, 6.3
Peter Pan, 2003, 113, 6.8
The Road to El Dorado, 2000, 89, 6.9
Surf's Up, 2007, 85, 6.7
Ice Age: Dawn of the Dinosaurs, 2009, 94, 6.9
Zathura: A Space Adventure, 2005, 101, 6.3
The Chronicles of Narnia: Prince Caspian, 2008, 150, 6.5
Madagascar: Escape 2 Africa, 2008, 89, 6.7
Elf, 2003, 97, 7.1
Speed Racer, 2008, 135, 6.1
Chicken Run, 2000, 84, 7.1
Cheaper by the Dozen, 2003, 98, 5.9
The Ultimate Gift, 2006, 118, 7.3
Help! I'm a Fish, 2000, 80, 6.1
Spirit: Stallion of the Cimarron, 2002, 83, 7.2
Ella Enchanted, 2004, 96, 6.3
My Sister's Keeper, 2009, 109, 7.3
Sleepover, 2004, 89, 5.3
Bolt, 2008, 96, 6.8
Spy Kids, 2001, 88, 5.6
Freaky Friday, 2003, 97, 6.4
Scooby-Doo Monsters Unleashed, 2004, 93, 5.4
Nacho Libre, 2006, 92, 5.9
The Cat in the Hat, 2003, 82, 4.2
Journey to the Centre of the Earth, 2008, 93, 5.8
The Spiderwick Chronicles, 2008, 96, 6.5
Monsters vs. Aliens, 2009, 94, 6.4
The Polar Express, 2004, 100, 6.6
The Princess Diaries Royal Engagement, 2004, 113, 5.9
Ice Age The Meltdown, 2006, 91, 6.8
Happy Feet, 2006, 108, 6.4
Evan Almighty, 2007, 96, 5.5
Open Season, 2006, 86, 6.1
Daddy Day Care, 2003, 92, 5.7
Bedtime Stories, 2008, 99, 6.0
How the Grinch Stole Christmas, 2000, 104, 6.4
Nanny McPhee, 2005, 97, 6.6
Horton Hears a Who!, 2008, 86, 6.8
The Golden Compass, 2007, 113, 6.1
Titan A.E., 2000, 94, 6.6
Chicken Little, 2005, 81, 5.7
Finding Neverland, 2004, 106, 7.6
The Cat Returns, 2002, 75, 7.1
Marley &amp; Me, 2008, 111, 7.0
Paul Blart: Mall Cop, 2009, 91, 5.3
Flushed Away, 2006, 85, 6.6
Brother Bear, 2003, 85, 6.9
The Pacifier, 2005, 95, 5.6
Barnyard, 2006, 90, 5.7
The SpongeBob SquarePants Movie, 2004, 87, 7.2
Hoodwinked!, 2005, 80, 6.5
St. Trinian's, 2007, 101, 5.8
Alvin and the Chipmunks, 2007, 92, 5.3
R.V.: Runaway Vacation, 2006, 99, 5.6
The Rookie, 2002, 128, 6.9
What a Girl Wants, 2003, 105, 5.8
Where the Wild Things Are, 2009, 101, 6.7
City of Ember, 2008, 90, 6.4
Dinosaur, 2000, 82, 6.4
TMNT, 2007, 87, 6.2
The Curse of the Were-Rabbit, 2005, 85, 7.5
The Secret of Kells, 2009, 71, 7.5
A Shine of Rainbows, 2009, 101, 7.1
The Game Plan, 2007, 110, 6.2
