naslov, leto_izida, trajanje, ocena
Once Upon a Deadpool, 2018, 118, 7.1
Pete's Dragon, 2016, 102, 6.7
Megamind vs. The Doom Syndicate, 2024, 83, 2.4
Big Game, 2014, 90, 5.4
Charlie's Angels: Full Throttle, 2003, 106, 5.0
The Pirates! In an Adventure with Scientists!, 2012, 88, 6.7
The Brothers Bloom, 2008, 114, 6.7
The Pink Panther 2, 2009, 92, 5.6
Crayon Shin-chan Movie Ora No Hikkoshi Monogatari - Saboten Daisuugeki, 2015, 103, 6.7
Rim of the World, 2019, 98, 5.3
The Good, the Bad, the Weird, 2008, 139, 7.2
Skiptrace, 2016, 107, 5.6
Guardians, 2017, 89, 4.1
Astro Boy, 2009, 94, 6.3
Doraemon the Movie: Nobita's Secret Gadget Museum, 2013, 100, 7.1
The Adventures of Sharkboy and Lavagirl 3-D, 2005, 93, 3.8
I Spy, 2002, 97, 5.4
Shanghai Knights, 2003, 114, 6.2
Jay and Silent Bob Reboot, 2019, 105, 5.6
Summer Wars, 2009, 114, 7.4
Around the World in Days, 2004, 2, 5.9
Journey to the West: Conquering the Demons, 2013, 110, 6.7
Mortdecai, 2015, 107, 5.5
Agent Cody Banks, 2003, 102, 5.2
Jimmy Neutron: Boy Genius, 2001, 82, 6.1
Accident Man, 2018, 105, 6.2
The Sleepover, 2020, 100, 5.7
Knights of Badassdom, 2013, 86, 5.6
Spy Kids All the Time in the World, 2011, 89, 3.6
Ruby Gillman: Teenage Kraken, 2023, 91, 5.7
Spy Kids Game Over, 2003, 84, 4.4
Grabbers, 2012, 94, 6.3
Monster Trucks, 2016, 104, 5.7
Batman: Return of the Caped Crusaders, 2016, 78, 6.7
Iron Sky: The Coming Race, 2019, 93, 5.0
Secret Society of Second Born Royals, 2020, 99, 5.1
Turbo Kid, 2015, 93, 6.7
Hit and Run, 2012, 100, 6.1
Lego Marvel Avengers: Code Red, 2023, 46, 5.5
Batman and Harley Quinn, 2017, 74, 5.9
Pootie Tang, 2001, 81, 5.3
A Legend, 2024, 129, 4.7
Ultraman: Rising, 2024, 117, 6.9
Mindhorn, 2016, 89, 6.3
Rise of the Teenage Mutant Ninja Turtles, 2022, 82, 6.2
Chinese Zodiac, 2012, 122, 6.0
Eiga Doraemon Nobita no Ritoru Sutâ Wôzu 2021, 2022, 108, 6.6
One Piece: The Movie, 2000, 51, 6.8
Fatman, 2020, 100, 5.9
Pokémon: The Rise of Darkrai, 2007, 95, 6.4
Dead Leaves, 2004, 55, 7.1
Aqua Teen Hunger Force Colon Movie Film for Theaters, 2007, 86, 6.7
Please Don't Destroy: The Treasure of Foggy Mountain, 2023, 92, 6.0
OSS Cairo, Nest of Spies, 2006, 99, 7.0
Dhamaal, 2007, 136, 7.6
Hitpig!, 2024, 86, 5.2
Agent Cody Banks Destination London, 2004, 100, 4.6
Kung Fu Yoga, 2017, 107, 5.2
The Paw Patrol Movie, 2021, 86, 6.1
Zoom, 2006, 93, 4.4
Minuscule: Valley of the Lost Ants, 2013, 89, 7.1
Chhota Bheem Master of Shaolin, 2011, 75, 7.2
The Warriors Gate, 2016, 108, 5.4
Underdog, 2007, 100, 4.8
Big Ass Spider!, 2013, 80, 5.3
Konosuba!: God's Blessing on This Wonderful World! - Legend of Crimson, 2019, 90, 7.8
The Pirates: The Last Royal Treasure, 2022, 126, 6.1
The Monkey King, 2023, 97, 5.8
Killing Cabos, 2004, 99, 7.4
Green Ghost and the Masters of the Stone, 2021, 82, 4.6
Teen Titans GO! to the Movies, 2018, 84, 6.7
Finding 'Ohana, 2021, 123, 6.1
Secret Headquarters, 2022, 104, 5.3
Paws of Fury: The Legend of Hank, 2022, 98, 5.8
Hobo with a Shotgun, 2011, 86, 6.1
PAW Patrol: The Mighty Movie, 2023, 88, 5.9
Go Goa Gone, 2013, 108, 6.7
Doraemon: Nobita's Chronicle of the Moon Exploration, 2019, 111, 6.9
Killer Bean Forever, 2008, 85, 6.6
Kangaroo Jack, 2003, 89, 4.5
R.I.P.D. Rise of the Damned, 2022, 102, 4.6
Pokémon the Movie: I Choose You!, 2017, 98, 6.3
Dragon Ball Z: Battle of Gods, 2013, 85, 7.1
Regular Show: The Movie, 2015, 70, 7.5
Pokémon the Movie: Hoopa and the Clash of Ages, 2015, 79, 5.9
I, the Executioner, 2024, 118, 6.3
Mad Heidi, 2022, 92, 5.5
Playmobil: The Movie, 2019, 99, 4.9
Ronal Barbaren, 2011, 89, 6.5
Chip 'n Dale: Rescue Rangers, 2022, 97, 6.9
One Piece: Baron Omatsuri and the Secret Island, 2005, 88, 7.2
Vanguard, 2020, 107, 4.7
Pokémon Heroes: The Movie, 2002, 80, 6.1
Infestation, 2009, 91, 5.8
Doraemon: Nobita and the Island of Miracles - Animal Adventure, 2012, 100, 6.8
The Venture Bros.: Radiant Is the Blood of the Baboon Heart, 2023, 83, 7.9
Witching and Bitching, 2013, 112, 6.4
Doraemon: Nobita and the Winged Braves, 2001, 95, 6.9
Detective Chinatown 3, 2021, 136, 5.6
Cells at Work!, 2024, 109, 6.7
Zombie Town, 2023, 92, 3.8
The Abduction Club, 2002, 96, 6.6
Dead Weight, 2002, 107, 6.0
Pretty Guardian Sailor Moon Cosmos: The Movie, 2023, 160, 7.3
Kangaroo Jack: G'Day U.S.A.!, 2004, 75, 4.0
One Piece: Chopper's Kingdom in the Strange Animal Island, 2002, 56, 6.2
Spy Kids: Armageddon, 2023, 97, 4.3
The Missing Lynx, 2008, 97, 5.2
