naslov, leto_izida, trajanje, ocena
Mermaids, 1990, 110, 6.7
French Kiss, 1995, 111, 6.6
Wuthering Heights, 1992, 105, 6.6
Dying Young, 1991, 111, 6.0
Quigley Down Under, 1990, 119, 6.9
Regarding Henry, 1991, 108, 6.7
Dave, 1993, 110, 6.9
The Horse Whisperer, 1998, 169, 6.7
Les Misérables, 1998, 134, 7.4
The Lovers on the Bridge, 1991, 125, 7.6
Return to the Blue Lagoon, 1991, 102, 5.2
The Saint, 1997, 116, 6.2
High Art, 1998, 101, 6.6
Beautiful Thing, 1996, 90, 7.6
Drive Me Crazy, 1999, 91, 5.8
Grumpy Old Men, 1993, 103, 7.0
The Watermelon Woman, 1996, 90, 7.1
Jamon Jamon, 1992, 95, 6.4
A Brighter Summer Day, 1991, 237, 8.2
Joe Versus the Volcano, 1990, 102, 5.9
The Bonfire of the Vanities, 1990, 125, 5.6
Shine, 1996, 105, 7.6
Sirens, 1994, 98, 5.9
Stealing Beauty, 1996, 118, 6.5
Fireworks, 1997, 103, 7.7
The Cutting Edge, 1992, 101, 6.9
The Postman, 1994, 108, 7.8
Days of Being Wild, 1990, 94, 7.4
Untamed Heart, 1993, 102, 6.8
Kama Sutra: A Tale of Love, 1996, 114, 6.0
First Knight, 1995, 134, 6.0
Forever Young, 1992, 102, 6.4
Benny &amp; Joon, 1993, 98, 7.1
A Walk on the Moon, 1999, 107, 6.6
Frivolous Lola, 1998, 105, 5.1
The End of the Affair, 1999, 102, 7.0
Message in a Bottle, 1999, 126, 6.3
Boomerang, 1992, 117, 5.7
Soapdish, 1991, 97, 6.6
The Legend of 1900, 1998, 169, 8.0
The Thing Called Love, 1993, 116, 6.4
Strictly Ballroom, 1992, 94, 7.2
Big Night, 1996, 109, 7.3
Raise the Red Lantern, 1991, 125, 8.1
Arizona Dream, 1993, 142, 7.2
Poetic Justice, 1993, 109, 6.2
Pushing Tin, 1999, 124, 6.0
Thumbelina, 1994, 86, 6.3
Speed Cruise Control, 1997, 121, 4.0
Beautiful Girls, 1996, 112, 7.1
The Man in the Moon, 1991, 99, 7.2
A Midsummer Night's Dream, 1999, 116, 6.4
Forces of Nature, 1999, 105, 5.5
Mansfield Park, 1999, 112, 7.0
The Raffle, 1991, 93, 5.2
The Crazy Stranger, 1997, 102, 7.6
Only Yesterday, 1991, 119, 7.6
Sonatine, 1993, 94, 7.4
The Handmaid's Tale, 1990, 109, 6.0
Jungle Fever, 1991, 132, 6.6
Like Water for Chocolate, 1992, 105, 7.1
Orlando, 1992, 94, 7.1
The Swan Princess, 1994, 89, 6.5
The Crush, 1993, 89, 5.9
A Scene at the Sea, 1991, 101, 7.5
Don Juan DeMarco, 1994, 97, 6.7
The Story of Us, 1999, 95, 6.0
Muppet Treasure Island, 1996, 99, 6.9
Cyrano de Bergerac, 1990, 137, 7.5
Addicted to Love, 1997, 100, 6.1
Love Letter, 1995, 117, 7.9
Fools Rush In, 1997, 109, 6.1
Deuce Bigalow: Male Gigolo, 1999, 88, 5.7
L'Appartement, 1996, 116, 7.3
Rush, 1991, 2, 6.7
(Haru), 1996, 118, 7.5
Vampire in Brooklyn, 1995, 100, 4.7
Lost and Found, 1996, 109, 7.3
Dragon: The Bruce Lee Story, 1993, 119, 7.0
L.A. Story, 1991, 95, 6.7
A Life Less Ordinary, 1997, 103, 6.3
I.Q., 1994, 100, 6.2
Set It Off, 1996, 123, 6.9
The Wood, 1999, 106, 7.0
Love Jones, 1997, 109, 7.3
Mighty Aphrodite, 1995, 95, 7.0
Om, 1995, 150, 8.9
The Russia House, 1990, 123, 6.1
Romeo Is Bleeding, 1993, 110, 6.5
Andaz Apna Apna, 1994, 160, 8.0
Stolen Hearts, 1996, 96, 5.3
The Next Karate Kid, 1994, 107, 4.6
Wilde, 1997, 118, 6.9
