naslov, leto_izida, trajanje, ocena
The Wild, 2006, 95, 5.2
Naruto Shippuden: The Movie - Bonds, 2008, 98, 6.8
Hey Arnold! The Movie, 2002, 76, 6.0
Final Fantasy VII: Advent Children, 2005, 101, 7.1
Blood Tea and Red String, 2006, 71, 7.0
A Town Called Panic, 2009, 75, 7.4
Metropia, 2009, 86, 6.2
Clannad, 2007, 94, 7.3
One Piece: Strong World, 2009, 113, 7.4
Toys in the Attic, 2009, 74, 6.5
Crayon Shin-chan: The Legend Called Buri Buri 3 Minutes Charge, 2005, 92, 5.5
Kangaroo Jack: G'Day U.S.A.!, 2004, 75, 4.0
One Piece: Chopper's Kingdom in the Strange Animal Island, 2002, 56, 6.2
Origin: Spirits of the Past, 2006, 94, 6.3
Initial D: Third Stage, 2001, 100, 7.7
Kâdokaputâ Sakura: Fûin sareta kâdo, 2000, 79, 7.7
The Missing Lynx, 2008, 97, 5.2
Stormy Night, 2005, 110, 7.0
Krishna - Kans Vadh, 2007, 69, 8.6
Genius Party, 2007, 102, 6.9
Krishna - The Birth, 2006, 75, 8.2
Kara no Kyoukai: The Garden of Sinners - Remaining Sense of Pain, 2008, 58, 7.3
Krishna in Vrindavan, 2007, 111, 8.4
Momo alla conquista del tempo, 2001, 80, 6.9
The King's Beard, 2002, 73, 6.2
Krishna - Makhan Chor, 2006, N/A, 8.9
Return to Never Land, 2002, 72, 5.8
Pokémon The Movie, 2000, 93, 5.9
Shin Chan: The Adult Empire Strikes Back, 2001, 90, 7.8
The Powerpuff Girls Movie, 2002, 73, 6.6
Doogal, 2006, 85, 2.8
Happily N'Ever After, 2006, 75, 4.5
Eight Crazy Nights, 2002, 76, 5.3
Naruto the Movie: Ninja Clash in the Land of Snow, 2004, 82, 6.6
Rugrats in Paris, 2000, 78, 6.2
The Magic Roundabout, 2004, 81, 5.3
The Tigger Movie, 2000, 77, 6.4
Space Chimps, 2008, 81, 4.5
The Reef, 2006, 77, 4.2
Rugrats Go Wild, 2003, 81, 5.6
Recess: School's Out, 2001, 82, 6.5
Digimon: The Movie, 2000, 88, 6.1
Doraemon the Movie: The New Records of Nobita's Spaceblazer, 2009, 103, 6.7
Pokémon 4Ever, 2001, 75, 5.8
Pokémon: Lucario and the Mystery of Mew, 2005, 103, 6.8
Gurren Lagann the Movie: The Lights in the Sky Are Stars, 2009, 126, 8.0
An Egg Movie, 2005, 90, 6.6
Naruto Shippûden: The Movie, 2007, 94, 6.7
Dragon Hunters, 2008, 80, 6.5
Bleach: Memories of Nobody, 2006, 87, 7.1
Crayon Shin-chan: Fierceness That Invites Storm! The Battle of the Warring States, 2002, 95, 7.3
JoJo's Bizarre Adventure: Phantom Blood, 2007, 100, 7.8
Gekijôban Poketto Monsutâ Adobansu Jenerêshon: Rekkû no hômonsha Deokishisu, 2004, 98, 6.1
Crayon Shin-chan: Fierceness That Invites Storm! Yakiniku Road of Glory, 2003, 88, 6.7
Battle for Terra, 2007, 90, 6.5
Azur &amp; Asmar: The Princes' Quest, 2006, 99, 7.3
Pooh's Heffalump Movie, 2005, 68, 6.4
Detective Conan: The Phantom of Baker Street, 2002, 98, 7.8
The Trouble with Terkel, 2004, 77, 7.1
Appleseed, 2004, 101, 6.9
Doraemon: Nobita in the Wan-Nyan Spacetime Odyssey, 2004, 89, 7.1
Doraemon: Nobita and the Robot Kingdom, 2002, 80, 6.8
The Ten Commandments, 2007, 88, 2.9
Naruto the Movie Legend of the Stone of Gelel, 2005, 97, 6.3
Pokémon: Arceus and the Jewel of Life, 2009, 95, 6.3
Pokémon: Jirachi - Wish Maker, 2003, 81, 5.8
Chico &amp; Rita, 2009, 94, 7.2
One Piece: Clockwork Island Adventure, 2001, 55, 6.6
Naruto the Movie Guardians of the Crescent Moon Kingdom, 2006, 95, 6.3
Astérix et les Vikings, 2006, 78, 6.0
Piglet's Big Movie, 2003, 75, 6.1
Crayon Shin-chan: Invoke a Storm! The Kasukabe Boys of the Evening Sun, 2004, 96, 6.8
Gurren Lagann the Movie: Childhood's End, 2008, 112, 7.6
Roadside Romeo, 2008, 93, 4.9
Sisu: The Death of Tom Sukanen, 2009, 91, 7.5
Crayon Shin-chan: Fierceness That Invites Storm! The Hero of Kinpoko, 2008, 90, 5.6
Dante's Inferno, 2007, 88, 6.6
The Laws of the Sun, 2000, 104, 6.5
Free Jimmy, 2006, 86, 5.9
Kaena: The Prophecy, 2003, 92, 6.0
Fly Me to the Moon, 2007, 84, 4.5
Curious George Follow That Monkey!, 2009, 80, 5.6
The Pirates Who Don't Do Anything: A VeggieTales Movie, 2008, 85, 5.7
Teacher's Pet, 2004, 73, 5.7
Princes et princesses, 2000, 70, 7.6
Unstable Fables: 3 Pigs &amp; a Baby, 2008, 76, 5.1
Naruto Shippûden: The Movie Inheritors of the Will of Fire, 2009, 95, 7.0
Yu Gi Oh the Movie, 2004, 100, 5.0
Happily N'Ever After 2, 2009, 75, 3.7
$9.99, 2008, 78, 6.7
El bosque animado, 2001, 83, 5.0
Escaflowne, 2000, 98, 6.5
Clifford's Really Big Movie, 2004, 74, 5.4
Muhammad: The Last Prophet, 2002, 95, 7.5
Titanic: The Legend Goes On..., 2000, 90, 1.5
Pokémon Ranger and the Temple of the Sea, 2006, 105, 5.9
Ibara no O, 2009, 2, 6.3
Sky Blue, 2003, 86, 6.6
Boo, Zino &amp; the Snurks, 2004, 91, 5.2
Pokémon: Giratina and the Sky Warrior, 2008, 100, 6.1
Detective Conan: Countdown to Heaven, 2001, 100, 7.6
Goat Story, 2008, 82, 3.3
Genius Party Beyond, 2008, 85, 7.0
Crayon Shin-chan: Fierceness That Invites Storm! The Singing Buttocks Bomb, 2007, 102, 5.8
Nocturna, 2007, 80, 7.2
Pinocchio 3000, 2003, 80, 3.9
Bleach the Movie: The Diamond Dust Rebellion, 2007, 92, 7.0
The Blue Elephant, 2006, 88, 5.7
One Piece: Episode of Alabasta - The Desert Princess and the Pirates, 2007, 90, 6.7
A Christmas Carol, 2001, 81, 5.4
The Dolphin: Story of a Dreamer, 2009, 86, 3.5
Appleseed: Ex Machina, 2007, 105, 7.0
The Little Bear Movie, 2000, 75, 6.6
