naslov, leto_izida, trajanje, ocena
Evil Ed, 1995, 93, 5.5
The Dark Side of the Moon, 1990, 91, 4.9
Watchers II, 1990, 101, 4.6
X, 1996, 100, 6.1
Vampire Killer Barbys, 1996, 90, 3.8
Ernest Scared Stupid, 1991, 91, 5.8
Project: Metalbeast, 1995, 92, 4.5
Prom Night III: The Last Kiss, 1990, 97, 4.7
Gemini, 1999, 84, 6.7
Phantoms, 1998, 96, 5.4
Demoni 3, 1991, 88, 4.2
Sombre, 1998, 112, 5.9
Guyver, 1991, 88, 5.0
Erotic Ghost Story, 1990, 90, 5.6
Tales from the Hood, 1995, 98, 6.6
Class of 1999, 1990, 99, 5.9
A Chinese Torture Chamber Story, 1994, 93, 5.9
The Crow: City of Angels, 1996, 84, 4.6
Sorority House Massacre II, 1990, 77, 4.8
Re-Animator 2, 1990, 96, 6.2
Phantasm III: Lord of the Dead, 1994, 91, 6.0
Brain Dead, 1990, 85, 5.8
Snow White: A Tale of Terror, 1997, 100, 6.1
Popcorn, 1991, 91, 5.9
Death Machine, 1994, 99, 5.6
Pinocchio's Revenge, 1996, 96, 4.2
Metamorphosis, 1990, 96, 4.0
The Puppet Masters, 1994, 109, 5.9
Killer Crocodile 2, 1990, 87, 4.5
Alferd Packer: The Musical, 1993, 95, 6.9
In Dreams, 1999, 100, 5.5
Singapore Sling, 1990, 111, 6.4
Head of the Family, 1996, 82, 5.4
Poison, 1991, 85, 6.3
Hard to Die, 1990, 77, 4.8
The Wax Mask, 1997, 98, 5.8
Demonia, 1990, 88, 4.7
The Cat, 1991, 89, 6.5
The Outpost, 1995, 96, 4.0
Maniac Cop Badge of Silence, 1992, 85, 5.0
Child's Play 3, 1991, 90, 5.2
Terror Firmer, 1998, 124, 6.1
Nadja, 1994, 93, 6.1
Razor Blade Smile, 1998, 102, 4.6
Scissors, 1991, 105, 5.1
Body Melt, 1993, 81, 5.3
Waxwork II: Lost in Time, 1992, 104, 5.4
Rubber's Lover, 1996, 91, 6.3
Scanners II: The New Order, 1991, 104, 5.3
Hellbound, 1994, 95, 4.8
Def by Temptation, 1990, 95, 5.3
There's Nothing Out There, 1991, 91, 5.6
The Dentist Brace Yourself, 1998, 100, 4.8
The Terror Within II, 1991, 85, 4.2
Basket Case 2, 1990, 90, 5.4
Witchboard: The Return, 1993, 94, 5.0
The Gate II: Trespassers, 1990, 93, 4.9
The Death King, 1990, 75, 6.3
