naslov, leto_izida, trajanje, ocena
American Psycho, 2000, 102, 7.6
Days Later ..., 2002, 113, 7.5
The Others, 2001, 101, 7.6
The Ring, 2002, 115, 7.1
The Mist, 2007, 126, 7.1
Resident Evil, 2002, 100, 6.6
Jennifer's Body, 2009, 102, 5.6
The Descent, 2005, 99, 7.2
Scary Movie 2, 2001, 83, 5.4
Shaun of the Dead, 2004, 99, 7.8
Constantine, 2005, 121, 7.0
Saw, 2004, 103, 7.6
I Am Legend, 2007, 101, 7.2
Wrong Turn, 2003, 84, 6.1
Martyrs, 2008, 99, 7.0
Silent Hill, 2006, 125, 6.5
Pitch Black, 2000, 109, 7.0
Eden Lake, 2008, 91, 6.7
Zombieland, 2009, 88, 7.5
Final Destination, 2000, 98, 6.7
Cloverfield, 2008, 85, 7.0
Weeks Later, 2007, 100, 6.8
Slither, 2006, 95, 6.5
The Human Centipede (First Sequence), 2009, 92, 4.4
The Last House on the Left, 2009, 113, 6.5
Jeepers Creepers, 2001, 90, 6.3
Dead Silence, 2007, 89, 6.2
[Rec], 2007, 78, 7.4
Antichrist, 2009, 108, 6.5
1408, 2007, 104, 6.8
Thir13en Ghosts, 2001, 91, 5.6
Pulse, 2001, 119, 6.6
Let the Right One In, 2008, 114, 7.8
The Strangers, 2008, 86, 6.1
Sweeney Todd: The Demon Barber of Fleet Street, 2007, 116, 7.3
Orphan, 2009, 123, 7.0
Pandorum, 2009, 108, 6.7
The Cell, 2000, 107, 6.4
Dawn of the Dead, 2004, 101, 7.2
The Hills Have Eyes, 2006, 107, 6.4
The Poughkeepsie Tapes, 2007, 81, 5.9
What Lies Beneath, 2000, 130, 6.6
Hellboy, 2004, 122, 6.9
The Girl Next Door, 2007, 91, 6.4
The Skeleton Key, 2005, 104, 6.5
Hostel, 2005, 94, 5.9
Timecrimes, 2007, 92, 7.1
Lake Mungo, 2008, 87, 6.2
Paranormal Activity, 2007, 86, 6.3
House of Wax, 2005, 113, 5.5
The Host, 2006, 2, 7.1
The Texas Chainsaw Massacre, 2003, 98, 6.2
The Orphanage, 2007, 105, 7.4
Session 9, 2001, 100, 6.3
Days of Night, 2007, 113, 6.6
A Tale of Two Sisters, 2003, 114, 7.1
Queen of the Damned, 2002, 101, 5.3
Drag Me to Hell, 2009, 99, 6.6
Ghost Ship, 2002, 91, 5.6
Planet Terror, 2007, 105, 7.0
The Cave, 2005, 97, 5.2
The Grudge, 2004, 91, 5.9
The Fourth Kind, 2009, 98, 5.9
Hollow Man, 2000, 112, 5.9
Case 39, 2009, 109, 6.2
House of Corpses, 2003, 89, 6.0
Scream 3, 2000, 116, 5.7
The Devil's Rejects, 2005, 107, 6.7
Resident Evil: Apocalypse, 2004, 94, 6.1
The Ruins, 2008, 90, 5.9
From Hell, 2001, 122, 6.7
Visitor Q, 2001, 84, 6.5
The Exorcism of Emily Rose, 2005, 119, 6.7
Scooby-Doo Monsters Unleashed, 2004, 93, 5.4
Switchblade Romance, 2003, 91, 6.7
The Collector, 2009, 90, 6.3
The Final Destination, 2009, 82, 5.1
BloodRayne, 2005, 95, 3.0
Vampire Hunter D: Bloodlust, 2000, 103, 7.7
Blade II, 2002, 117, 6.7
The Uninvited, 2009, 87, 6.3
Blade: Trinity, 2004, 113, 5.8
Final Destination 2, 2003, 90, 6.2
Inside, 2007, 82, 6.7
Final Destination 3, 2006, 93, 5.9
An American Crime, 2007, 98, 7.2
Wolf Creek, 2005, 99, 6.2
Alone in the Dark, 2005, 99, 2.4
Friday the 13th, 2009, 97, 5.5
The Gift, 2000, 111, 6.7
Ghosts of Mars, 2001, 98, 4.9
The Mothman Prophecies, 2002, 119, 6.4
Saw II, 2005, 93, 6.6
Mindhunters, 2004, 106, 6.3
Resident Evil: Extinction, 2007, 94, 6.2
Stay Alive, 2006, 85, 5.1
Dog Soldiers, 2002, 105, 6.8
The Brothers Grimm, 2005, 118, 5.9
Mirrors, 2008, 110, 6.1
Noroi, 2005, 115, 6.8
The Eclipse, 2009, 88, 6.1
Shutter, 2004, 97, 7.0
May, 2002, 93, 6.6
Grindhouse, 2007, 191, 7.5
The Devil's Backbone, 2001, 106, 7.3
Brotherhood of the Wolf, 2001, 142, 7.0
Dreamcatcher, 2003, 136, 5.6
The House of the Devil, 2009, 95, 6.3
Hostel: Part II, 2007, 94, 5.5
Cry Wolf, 2005, 90, 5.8
Gothika, 2003, 98, 5.8
Valentine, 2001, 96, 5.0
Land of the Dead, 2005, 93, 6.2
Splice, 2009, 104, 5.8
Trick 'r Treat, 2007, 82, 6.7
